id,name,idCountry,country
1310,Island of Capri,105,Italy
1311,Udaipur,99,India
1312,Jodhpur,99,India
1313,Parga,83,Greece
1315,Mangaia Island,51,Cook Islands
1316,Rajasthan,99,India
1317,Thassos Island,83,Greece
1318,Portland,106,Jamaica
1319,Ayia Napa,55,Cyprus
1320,Perpignan,73,France
1321,Santo,226,Vanuatu
1322,Pisa,105,Italy
1324,Poros Island,83,Greece
1326,Island of Capri,105,Italy
1327,Nerja,196,Spain
1328,Impruneta,105,Italy
1330,Taree,13,Australia
1331,Rainbow Beach,13,Australia
1332,Albury,13,Australia
1333,St Mary,106,Jamaica
1334,Santa Rita Arriba,163,Panama
1335,St. Maarten,149,Netherlands Antilles
1338,Narva Joesuu,67,Estonia
1341,San Pedro Sula,95,Honduras
1342,Saint Francois,86,Guadeloupe
1343,Lilongwe,126,Malawi
1344,Okovango Delta,28,Botswana
1345,Sainte Luce,132,Martinique
1346,Mangochi,126,Malawi
1348,Valgamaa,67,Estonia
1349,Rockhampton,13,Australia
1350,Kerala,99,India
1351,Guadaloupe,86,Guadeloupe
1352,Hammamet,213,Tunisia
1353,Nabeul,213,Tunisia
1354,Mahdia,213,Tunisia
1355,Yandup Island,163,Panama
1356,Chalon Sur Saone,73,France
1357,Anse Mitan,132,Martinique
1360,Parnu,67,Estonia
1361,Cousins Cove,106,Jamaica
